,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Alofi,-19.0595,-169.9187,76.01,85,95,11.07,NU,1628467406
82,Mataura,-46.1927,168.8643,39.47,97,91,5.5,NZ,1628467491
83,Vidalia,32.2177,-82.4135,86.0,74,1,0.0,US,1628467491
84,Nikolskoye,59.7035,30.7861,63.01,97,99,4.92,RU,1628467351
85,East London,-33.0153,27.9116,62.91,75,32,15.79,ZA,1628467492
86,Lavrentiya,65.5833,-171.0,48.51,67,42,14.99,RU,1628467492
87,Solano,38.2333,-121.9511,95.95,48,1,9.22,US,1628467492
88,Saravan,39.7196,45.6483,65.05,52,59,7.74,AM,1628467493
89,Pimentel,-6.8367,-79.9342,66.49,80,0,5.01,PE,1628467097
90,Thompson,55.7435,-97.8558,65.39,69,99,8.66,CA,1628467355
91,Vestmannaeyjar,63.4427,-20.2734,56.16,80,87,7.58,IS,1628467493
92,Aspindza,41.5739,43.2483,61.2,89,54,3.83,GE,1628467494
93,Saint George,37.1041,-113.5841,104.47,8,1,5.01,US,1628467494
94,Adrar,20.5022,-10.0711,86.95,20,9,10.8,MR,1628467349
95,Kapaa,22.0752,-159.319,84.18,68,47,5.01,US,1628467415
96,Khatanga,71.9667,102.5,53.06,74,100,11.72,RU,1628467341
97,Banda Aceh,5.5577,95.3222,79.54,83,81,8.03,ID,1628467098
98,Seydi,39.4816,62.9137,80.35,21,0,11.83,TM,1628467495
99,Kruisfontein,-34.0033,24.7314,50.88,86,100,7.45,ZA,1628467301
100,Saint Paul Harbor,57.79,-152.4072,59.56,59,59,11.07,US,1628467004
101,Leningradskiy,69.3833,178.4167,40.55,75,28,18.16,RU,1628467495
102,São Luiz Gonzaga,-28.4083,-54.9608,66.2,65,16,7.74,BR,1628467461
103,Ostrovnoy,68.0531,39.5131,49.24,79,0,8.19,RU,1628467099
104,Gōtsuchō,35.0,132.2167,75.34,95,100,31.43,JP,1628467496
105,Praia,14.9215,-23.5087,79.34,89,20,4.61,CV,1628466893
106,Saskylakh,71.9167,114.0833,60.62,60,100,6.31,RU,1628467445
107,Souillac,-20.5167,57.5167,67.35,88,100,16.75,MU,1628467476
108,Zamora,-4.0692,-78.9567,67.59,88,36,1.32,EC,1628467496
109,Panama City,8.9936,-79.5197,78.17,99,100,4.41,PA,1628467331
110,Diu,20.7141,70.9822,79.81,81,100,6.93,IN,1628467497
111,Rolla,37.9514,-91.7713,73.24,87,100,5.99,US,1628467257
112,Sittwe,20.15,92.9,80.28,87,100,1.57,MM,1628467497
113,Pulandian,39.3953,121.9669,78.93,67,100,2.77,CN,1628467497
114,Torbay,47.6666,-52.7314,55.58,93,90,14.97,CA,1628467398
115,Kavieng,-2.5744,150.7967,83.86,69,93,10.98,PG,1628467498
116,Ulladulla,-35.35,150.4667,56.88,60,99,5.7,AU,1628467498
117,Mossamedes,-15.1961,12.1522,62.83,81,45,5.88,AO,1628467498
118,Yulara,-25.2406,130.9889,48.04,43,0,5.75,AU,1628467101
119,Norman Wells,65.282,-126.8329,54.43,59,98,7.09,CA,1628467499
120,Vaini,-21.2,-175.2,75.36,73,75,4.61,TO,1628467499
121,Kuril'sk,45.2333,147.8833,52.9,87,100,15.5,RU,1628467499
122,Zeya,53.75,127.2667,59.32,63,66,8.41,RU,1628467500
123,Igarka,67.4667,86.5833,57.65,68,2,0.34,RU,1628467500
124,San Andrés,12.5847,-81.7006,81.64,81,100,17.11,CO,1628467500
125,Tasiilaq,65.6145,-37.6368,46.56,94,100,21.12,GL,1628467501
126,Batticaloa,7.7102,81.6924,78.6,81,100,3.53,LK,1628467501
127,Katobu,-4.9408,122.5276,78.82,77,82,4.5,ID,1628466900
128,Santa Lucía,27.9117,-15.5407,63.77,73,20,20.71,ES,1628467501
129,Shache,38.4167,77.2406,73.27,45,100,5.77,CN,1628467383
130,Ust-Maya,60.4167,134.5333,69.78,37,83,5.21,RU,1628467503
131,Hithadhoo,-0.6,73.0833,79.95,76,98,4.59,MV,1628467504
132,Itaituba,-4.2761,-55.9836,85.41,39,59,1.07,BR,1628467504
133,Evensk,61.95,159.2333,63.84,45,25,11.63,RU,1628467505
134,Necochea,-38.5473,-58.7368,46.04,72,100,6.04,AR,1628467505
135,Gunjur,13.2019,-16.7339,79.66,83,94,12.44,GM,1628467505
136,Hobyo,5.3505,48.5268,76.3,86,47,22.77,SO,1628467506
137,Aklavik,68.2191,-135.0107,59.81,41,11,4.12,CA,1628467506
138,Codrington,-38.2667,141.9667,52.68,72,98,13.65,AU,1628467103
139,Las Vegas,36.175,-115.1372,107.55,6,0,10.0,US,1628467210
140,São Mateus,-18.7161,-39.8589,66.38,84,5,3.83,BR,1628467349
141,Lodwar,3.1191,35.5973,82.53,52,94,16.17,KE,1628467423
142,Argostoli,38.1811,20.489,76.93,68,0,5.28,GR,1628467454
143,Progreso,21.2833,-89.6667,78.91,78,27,19.19,MX,1628467507
144,Santa Cruz Cabrália,-16.2781,-39.0247,70.47,82,86,8.68,BR,1628467507
145,Owando,-0.4819,15.8999,71.28,85,40,3.36,CG,1628467507
146,Okha,53.5739,142.9478,60.49,57,8,2.64,RU,1628467508
147,Cidreira,-30.1811,-50.2056,60.22,91,1,10.69,BR,1628467508
148,Katima Mulilo,-17.5,24.2667,58.48,37,0,4.83,NA,1628467508
149,Hobart,-42.8794,147.3294,53.26,72,40,3.0,AU,1628467216
150,Dhidhdhoo,6.8833,73.1,82.17,73,98,15.68,MV,1628467509
151,Kalemie,-5.9475,29.1947,72.79,48,52,3.11,CD,1628467509
152,Alihe,50.5667,123.7167,58.17,99,100,5.28,CN,1628467509
153,Matara,5.9485,80.5353,76.41,91,95,8.7,LK,1628467105
154,Oistins,13.0667,-59.5333,80.98,75,100,19.93,BB,1628467510
155,Cayenne,4.9333,-52.3333,82.09,83,0,5.01,GF,1628467015
156,Te Anau,-45.4167,167.7167,38.3,85,70,2.84,NZ,1628467510
157,Tongliao,43.6125,122.2653,76.95,59,88,6.04,CN,1628467510
158,Cabo San Lucas,22.8909,-109.9124,91.06,71,40,1.99,MX,1628467511
159,Iqaluit,63.7506,-68.5145,42.75,89,100,9.73,CA,1628467401
160,Laas,46.6166,10.7002,58.62,90,29,1.77,IT,1628467511
161,Sørland,67.667,12.6934,56.89,86,70,9.62,NO,1628467512
162,Nanzhou,29.3596,112.4024,79.92,93,100,6.31,CN,1628467512
163,Kutum,14.2,24.6667,68.65,77,60,10.94,SD,1628467466
164,Qorveh,35.1664,47.8045,67.19,40,15,1.43,IR,1628467512
165,Prince Rupert,54.3161,-130.3201,62.69,82,1,5.75,CA,1628467107
166,Guerrero Negro,27.9769,-114.0611,76.71,65,4,16.06,MX,1628467513
167,Naryan-Mar,67.6713,53.087,44.06,93,3,2.91,RU,1628467513
168,Udachny,66.4167,112.4,59.05,71,48,1.61,RU,1628467514
169,Atar,20.5169,-13.0499,93.45,26,9,3.06,MR,1628467487
170,Dakar,14.6937,-17.4441,74.28,80,32,14.25,SN,1628467514
171,Saint-François,46.4154,3.9054,57.18,98,0,3.44,FR,1628467515
172,Brae,60.3964,-1.353,57.11,91,100,7.43,GB,1628467023
173,Yangjiang,21.85,111.9667,84.02,83,98,2.48,CN,1628467515
174,Moerai,-22.4333,-151.3333,72.73,74,12,9.1,PF,1628467515
175,Tokat,40.4167,36.5833,55.98,97,98,4.03,TR,1628467515
176,Morant Bay,17.8815,-76.4093,83.66,81,7,8.5,JM,1628467516
177,Kirensk,57.7853,108.1119,60.49,63,71,1.97,RU,1628467516
178,Xinzhou,38.4092,112.7333,68.45,82,1,1.66,CN,1628467516
179,St. George's,12.0564,-61.7485,80.74,79,100,12.48,GD,1628467517
180,Barra de Tecoanapa,16.5167,-98.75,81.99,83,30,6.71,MX,1628467517
181,Araouane,18.9048,-3.5265,95.92,27,39,15.01,ML,1628467517
182,Masvingo,-20.0637,30.8277,54.09,62,0,3.09,ZW,1628467518
183,Aksarka,66.5606,67.7975,51.49,68,100,9.37,RU,1628467518
184,Ilulissat,69.2167,-51.1,44.62,81,75,4.61,GL,1628467284
185,Sioux Lookout,50.1001,-91.917,77.52,54,7,5.48,CA,1628467518
186,Talnakh,69.4865,88.3972,62.76,58,1,3.13,RU,1628467379
187,Nadvoitsy,63.8667,34.3167,53.44,97,100,5.95,RU,1628467519
188,Pringsewu,-5.3582,104.9744,75.02,94,75,0.43,ID,1628467519
189,Nieuw Amsterdam,5.8833,-55.0833,78.03,91,98,7.52,SR,1628467519
190,Lieksa,63.3167,30.0167,58.33,97,100,8.39,FI,1628467520
191,Kaohsiung City,22.6163,120.3133,82.35,97,75,1.01,TW,1628467495
192,Suntar,62.1444,117.6319,65.19,85,87,2.24,RU,1628467520
193,Bilibino,68.0546,166.4372,61.34,31,75,1.43,RU,1628467521
194,Pevek,69.7008,170.3133,37.54,81,27,10.87,RU,1628467356
195,Hazaribagh,23.9833,85.35,74.57,88,77,2.91,IN,1628467522
196,Severo-Kuril'sk,50.6789,156.125,56.34,84,62,12.26,RU,1628467231
197,Rovnoye,50.7765,46.0509,77.05,42,100,11.52,RU,1628467522
198,Polkowice,51.5039,16.0726,60.62,79,81,7.05,PL,1628467523
199,Biltine,14.5333,20.9167,75.81,79,100,9.51,TD,1628467523
200,Tiksi,71.6872,128.8694,51.08,71,62,4.29,RU,1628467523
201,Marsá Maţrūḩ,31.3525,27.2453,78.01,65,0,9.89,EG,1628467523
202,Sitka,57.0531,-135.33,60.66,78,100,8.46,US,1628467350
203,Salta,-24.7859,-65.4117,65.57,48,18,1.99,AR,1628467524
204,Wagar,16.1525,36.2032,81.68,69,93,11.45,SD,1628467524
205,Zhuanghe,39.7008,122.9911,76.93,81,84,8.3,CN,1628467524
206,San Cristobal,7.7669,-72.225,66.83,98,93,1.95,VE,1628467450
207,Kropotkin,45.4375,40.5756,73.51,81,100,6.6,RU,1628467526
208,Touros,-5.1989,-35.4608,75.65,83,35,14.7,BR,1628467299
209,Wau,7.7029,27.9953,70.5,95,100,1.61,SS,1628467526
210,Bakel,14.905,-12.4568,79.21,83,92,11.5,SN,1628467527
211,Māngrol,21.1167,70.1167,81.23,77,100,9.89,IN,1628467366
212,Yaan,7.3833,8.5667,71.49,93,95,8.14,NG,1628467112
213,Clyde River,70.4692,-68.5914,45.09,62,100,8.72,CA,1628467527
214,Bathsheba,13.2167,-59.5167,81.23,76,100,19.39,BB,1628467527
215,Hattiesburg,31.3271,-89.2903,91.72,79,1,5.75,US,1628467520
216,São Filipe,14.8961,-24.4956,78.94,85,28,2.77,CV,1628467528
217,Sarkand,45.41,79.9186,73.02,30,13,11.12,KZ,1628467528
218,Kampot,10.6167,104.1833,84.25,85,88,7.25,KH,1628467528
219,Saint-Philippe,-21.3585,55.7679,68.22,88,41,8.81,RE,1628467364
220,Solwezi,-12.1688,26.3894,56.25,42,0,3.67,ZM,1628467529
221,Puerto Cabezas,14.0351,-83.3888,78.71,84,100,8.01,NI,1628467529
222,Pedro II,-4.4247,-41.4586,79.09,38,96,3.6,BR,1628467529
223,Caucaia,-3.7361,-38.6531,80.04,76,28,10.63,BR,1628467382
224,Manama,26.2154,50.5832,95.34,66,1,5.75,BH,1628467530
225,Krasnosel'kup,65.7,82.4667,56.59,69,13,9.69,RU,1628467530
226,Gaffney,35.0718,-81.6498,86.29,61,16,2.57,US,1628467531
227,Tocopilla,-22.092,-70.1979,62.06,65,75,13.27,CL,1628467531
228,Kiryat Gat,31.61,34.7642,80.4,80,0,2.13,IL,1628467114
229,Port Blair,11.6667,92.75,81.81,84,100,10.42,IN,1628467531
230,Xingtai,37.0631,114.4942,75.36,88,66,0.89,CN,1628467531
231,Ponta do Sol,32.6667,-17.1,70.43,76,29,3.49,PT,1628467379
232,Barrow,71.2906,-156.7887,39.22,86,90,11.5,US,1628467356
233,Castro,-24.7911,-50.0119,60.8,59,97,4.52,BR,1628467532
234,Coyhaique,-45.5752,-72.0662,32.41,95,31,4.09,CL,1628467416
235,Lahat,-3.8,103.5333,74.77,83,33,1.86,ID,1628467532
236,Yellowknife,62.456,-114.3525,54.82,48,80,10.65,CA,1628467533
237,Constitución,-35.3333,-72.4167,48.25,72,100,2.62,CL,1628467533
238,Coolum Beach,-26.5333,153.1,61.11,97,92,14.18,AU,1628467533
239,Bukama,-9.2,25.85,70.83,30,1,1.72,CD,1628467534
240,Serrana,-21.2114,-47.5956,69.75,42,73,5.77,BR,1628467534
241,Paita,-5.0892,-81.1144,66.52,74,8,17.98,PE,1628467534
242,Bucerías,20.75,-105.3333,85.98,70,75,5.75,MX,1628467532
243,Fort Nelson,58.8053,-122.7002,73.89,47,72,2.73,CA,1628467535
244,Wanning,18.8003,110.3967,84.13,80,100,8.3,CN,1628467536
245,Arraial do Cabo,-22.9661,-42.0278,69.08,83,8,24.58,BR,1628467537
246,Auki,-8.7676,160.7034,84.18,65,29,1.68,SB,1628467459
247,Saint-Pierre,-21.3393,55.4781,68.29,69,0,4.61,RE,1628467537
248,Hays,30.0502,-98.0336,91.42,65,42,10.0,US,1628467410
249,Airai,-8.9266,125.4092,65.44,62,22,3.0,TL,1628467411
250,Baghdad,33.3406,44.4009,84.11,30,0,2.3,IQ,1628466886
251,Beringovskiy,63.05,179.3167,43.95,83,100,19.66,RU,1628467538
252,Bowen,-20.0167,148.2333,72.43,56,19,15.23,AU,1628467471
253,Flinders,-34.5833,150.8552,58.21,85,100,3.0,AU,1628467259
254,Korla,41.7597,86.1469,76.14,39,86,9.28,CN,1628467538
255,Tulum,20.2167,-87.4667,86.05,76,23,6.98,MX,1628467538
256,Chapais,49.7834,-74.8492,63.19,57,96,5.7,CA,1628467539
257,Port Hardy,50.6996,-127.4199,61.84,77,42,14.65,CA,1628467539
258,Laela,-8.5667,32.05,56.93,50,1,3.44,TZ,1628467539
259,Bredasdorp,-34.5322,20.0403,51.28,92,100,13.87,ZA,1628467540
260,Hofn,64.2539,-15.2082,55.89,75,13,2.48,IS,1628467386
261,Saryg-Sep,51.5,95.6,56.86,79,46,2.42,RU,1628467540
262,Bandarbeyla,9.4942,50.8122,76.55,82,65,26.55,SO,1628467540
263,Tombouctou,20.0,-3.0,96.98,22,9,17.67,ML,1628467540
264,Ushtobe,45.2514,77.9838,77.11,25,35,10.02,KZ,1628467117
265,Geraldton,-28.7667,114.6,59.41,94,40,12.66,AU,1628467541
266,Singaraja,-8.112,115.0882,79.7,78,59,2.46,ID,1628467541
267,Arman',59.7,150.1667,66.47,45,5,6.22,RU,1628467541
268,Tanabi,-20.6264,-49.6492,68.07,36,37,7.47,BR,1628467314
269,Vila Franca do Campo,37.7167,-25.4333,70.21,88,42,10.89,PT,1628467542
270,Santa Maria,-29.6842,-53.8069,66.24,73,0,5.53,BR,1628467319
271,Metro,-5.1131,105.3067,76.64,89,89,3.36,ID,1628467542
272,Qaanaaq,77.484,-69.3632,39.51,72,18,4.21,GL,1628467543
273,Akureyri,65.6835,-18.0878,59.5,82,97,1.83,IS,1628467466
274,Moose Factory,51.2585,-80.6094,71.47,60,2,5.55,CA,1628467543
275,Saldanha,-33.0117,17.9442,55.45,81,100,20.51,ZA,1628467543
276,Mogzon,51.7435,111.9606,55.85,86,22,3.58,RU,1628467544
277,Mbuji-Mayi,-6.15,23.6,73.45,40,21,1.81,CD,1628467492
278,La Sarre,48.8002,-79.1996,62.67,97,100,6.46,CA,1628467544
279,Srednekolymsk,67.45,153.6833,68.43,39,14,4.72,RU,1628467119
280,Dzhebariki-Khaya,62.2167,135.8,74.5,39,9,2.55,RU,1628467544
281,Avera,33.194,-82.5271,89.47,73,91,4.32,US,1628467545
282,São Miguel do Tapuio,-5.5036,-41.3233,83.79,35,40,8.84,BR,1628467545
283,Berlevåg,70.8578,29.0864,57.0,70,8,9.44,NO,1628467355
284,Matamoros,25.5333,-103.25,93.31,31,20,0.0,MX,1628467546
285,Urambo,-5.0667,32.05,73.83,35,75,6.15,TZ,1628467546
286,Provideniya,64.3833,-173.3,51.91,66,40,15.66,RU,1628467436
287,Hastings,50.8552,0.5729,62.2,89,83,17.18,GB,1628467346
288,Kenora,49.8167,-94.4337,81.82,45,4,7.54,CA,1628467339
289,Raudeberg,61.9875,5.1352,59.2,79,6,4.63,NO,1628467547
290,Yashkul',46.1711,45.3435,81.03,43,43,8.21,RU,1628467547
291,Tigil',57.8,158.6667,60.62,52,20,12.75,RU,1628467296
292,Ranong,9.9658,98.6348,79.97,88,81,7.02,TH,1628467547
293,Nago,26.5881,127.9761,82.83,82,25,8.34,JP,1628467548
294,Arlit,18.7369,7.3853,96.26,26,93,6.46,NE,1628467431
295,Olinda,-8.0089,-34.8553,75.33,83,43,11.52,BR,1628467548
296,Khāsh,28.2211,61.2158,77.41,15,2,2.86,IR,1628467548
297,Hurghada,27.2574,33.8129,89.2,29,0,12.91,EG,1628467549
298,Quatre Cocos,-20.2078,57.7625,67.08,92,93,18.66,MU,1628467466
299,Hamilton,39.1834,-84.5333,86.09,63,24,1.01,US,1628467333
300,Sloboda,51.1421,40.3021,80.89,22,100,12.24,RU,1628467549
301,Kristiansund,63.1115,7.732,59.65,82,75,2.3,NO,1628467122
302,Alappuzha,9.49,76.3264,77.49,88,97,6.98,IN,1628467550
303,Benguela,-12.5763,13.4055,71.6,85,77,4.16,AO,1628467550
304,Lüderitz,-26.6481,15.1594,54.27,86,70,7.27,NA,1628467447
305,Dul'durga,50.6761,113.5931,63.32,71,96,4.63,RU,1628467550
306,Sabnova,42.0762,48.248,83.48,48,49,4.63,RU,1628467122
307,Xiantao,30.3833,113.4,78.71,93,98,6.51,CN,1628467123
308,Ndélé,8.4109,20.6473,67.57,97,98,0.51,CF,1628467123
309,Amahai,-3.3333,128.9167,79.84,80,90,2.57,ID,1628467123
310,Phonhong,18.5007,102.4166,80.42,88,100,1.66,LA,1628467124
311,Farafangana,-22.8167,47.8333,64.02,94,33,7.07,MG,1628467124
312,Ambilobe,-13.2,49.05,69.19,86,96,1.54,MG,1628467124
313,Nadym,65.5333,72.5167,53.08,73,6,17.43,RU,1628467075
314,Daru,-9.0763,143.2092,76.06,90,100,16.6,PG,1628467125
315,Mehamn,71.0357,27.8492,58.08,66,10,7.94,NO,1628467125
316,Lubango,-14.9172,13.4925,57.52,39,25,3.56,AO,1628467125
317,Skjervøy,70.0311,20.9714,57.83,75,79,19.17,NO,1628467126
318,Obo,5.3998,26.4869,67.23,97,100,1.68,CF,1628467126
319,Acarí,-15.4311,-74.6158,62.71,83,53,5.61,PE,1628467126
320,Dauphin,51.1494,-100.0502,80.74,61,75,13.8,CA,1628467127
321,Taoudenni,22.6783,-3.9836,100.63,10,9,14.41,ML,1628467127
322,Severo-Yeniseyskiy,60.3725,93.0408,58.33,70,43,3.11,RU,1628467127
323,Puerto Quijarro,-17.7833,-57.7667,79.11,33,40,2.59,BO,1628467128
324,Santa Isabel Rio Negro,-0.4139,-65.0192,73.69,95,68,1.95,BR,1628467115
325,Brigg,53.552,-0.4921,57.94,89,15,11.5,GB,1628467128
326,Baykit,61.67,96.37,59.95,84,96,1.3,RU,1628467128
327,Bonfim,3.0833,-59.95,76.05,90,85,1.41,BR,1628467128
328,Erice,38.037,12.5865,73.87,57,54,12.17,IT,1628467129
329,Kumul,42.8,93.45,80.08,29,100,4.12,CN,1628466897
330,Wajima,37.4,136.9,81.28,94,75,16.11,JP,1628467129
331,Krasnoarmeysk,51.0239,45.6969,77.16,38,100,7.49,RU,1628467129
332,Alta Gracia,-31.6529,-64.4283,49.55,80,14,15.48,AR,1628467130
333,Henties Bay,-22.116,14.2845,51.85,93,47,6.4,NA,1628467130
334,Capim Grosso,-11.3811,-40.0128,67.08,78,32,9.75,BR,1628467130
335,Zhangjiakou,40.81,114.8794,69.08,76,1,3.42,CN,1628467131
336,Longyearbyen,78.2186,15.6401,40.84,93,75,6.91,SJ,1628467131
337,Poiana Stampei,47.3167,25.1333,61.79,65,40,1.72,RO,1628467131
338,Vostok,46.4856,135.8833,55.51,81,100,5.28,RU,1628467132
339,Qujing,25.4833,103.7833,66.16,93,100,0.58,CN,1628467132
340,Sanford,28.8006,-81.2731,83.25,86,97,5.79,US,1628467098
341,Bang Saphan,11.2126,99.5117,76.95,85,37,5.66,TH,1628467132
342,Kulhudhuffushi,6.6221,73.07,82.2,73,99,15.61,MV,1628467133
343,Southbridge,42.0751,-72.0334,76.01,85,97,3.4,US,1628467133
344,Imbituba,-28.24,-48.6703,64.29,92,0,11.43,BR,1628467133
345,Awasa,7.05,38.4667,60.3,94,100,1.9,ET,1628467134
346,Agadez,19.75,10.25,89.98,29,85,6.78,NE,1628467134
347,Margate,51.3813,1.3862,59.31,85,53,4.0,GB,1628467134
348,Bilma,18.6853,12.9164,92.98,30,34,4.99,NE,1628467134
349,San Patricio,28.017,-97.5169,91.49,61,31,18.16,US,1628467135
350,Zatoka,46.0725,30.4654,63.14,63,0,13.87,UA,1628467136
351,Valparaíso,-33.0393,-71.6273,53.24,82,20,3.44,CL,1628466917
352,Christchurch,-43.5333,172.6333,41.47,86,75,4.0,NZ,1628467049
353,Petawawa,45.9001,-77.3328,75.78,82,1,3.0,CA,1628467136
354,Nouadhibou,20.931,-17.0347,69.78,88,3,16.11,MR,1628467082
355,Mombetsu,44.3525,143.3525,66.13,85,100,14.56,JP,1628466915
356,Kasamwa,-2.85,32.4333,67.6,59,26,2.77,TZ,1628467137
357,Sarangani,5.4033,125.4636,81.93,67,99,2.86,PH,1628467137
